index,port_num,pred,n_ret,date
HALKB.IS,2,0.2261602968921706,0.08041234518645668,2022-08-07
TURSG.IS,2,0.2009853326020963,0.05576922547887753,2022-08-07
VAKBN.IS,2,0.2409958367462845,0.09999996332021954,2022-08-07
OTKAR.IS,3,0.2519587119233186,-0.020689642416895193,2022-08-07
GARAN.IS,3,0.2288605451280738,0.07988979413508712,2022-08-07
VERUS.IS,3,0.253637767298434,0.034428746411707234,2022-08-07
YKBNK.IS,3,0.2287060433849367,0.10315784655119242,2022-08-07
RTALB.IS,4,0.2239021972937877,0.03744495104016665,2022-08-07
TRGYO.IS,4,0.1505755546358137,0.12659849440195026,2022-08-07
ISCTR.IS,4,0.2435118542167823,0.2298851215199449,2022-08-07
YATAS.IS,4,0.2336621334290272,0.08553969576074016,2022-08-07
AGHOL.IS,5,0.1924951688678807,0.15212693992624504,2022-08-07
ISGYO.IS,5,0.1998570963852282,-0.09753638442636847,2022-08-07
TCELL.IS,6,0.2853327606941849,0.03073288743610747,2022-08-07
TTKOM.IS,6,0.2929735045733691,0.04424774559935751,2022-08-07
VESTL.IS,6,0.2755057931792312,0.12251659811737747,2022-08-07
IPEKE.IS,7,0.2913574133579925,0.020477850507047757,2022-08-07
KOZAA.IS,7,0.2872309614120708,0.031117367022630793,2022-08-07
AKBNK.IS,8,0.2938112398569559,0.08574736515702863,2022-08-07
ISMEN.IS,8,0.2806400202861517,0.09904761541457408,2022-08-07
KARSN.IS,8,0.2832749930821737,0.01123594452133525,2022-08-07
PARSN.IS,8,0.2940744570449203,-0.012188735524947925,2022-08-07
KORDS.IS,9,0.2919624343936814,0.07912178524043978,2022-08-07
OYAKC.IS,9,0.2759069572830384,0.015822769290571248,2022-08-07
TAVHL.IS,9,0.2768298793891468,0.0663716814159292,2022-08-07
TKFEN.IS,9,0.2851482370550544,0.048589331852497475,2022-08-07
HEKTS.IS,10,0.2704420981236901,0.1755772453063693,2022-08-07
SASA.IS,10,0.284218543576467,0.11960431091669799,2022-08-07
SELEC.IS,10,0.2723206962516189,0.05000002243939572,2022-08-07
SKBNK.IS,10,0.268226428570723,0.2923976542958566,2022-08-07
EREGL.IS,11,0.3052987094686723,-0.0014482590264994766,2022-08-07
ISFIN.IS,11,0.2969127078476922,0.1273209606105945,2022-08-07
KCHOL.IS,11,0.3003944370953723,0.07228260604780878,2022-08-07
PETKM.IS,11,0.3079008774619606,0.027839645071712438,2022-08-07
SARKY.IS,11,0.2941344182721562,0.0223504269772532,2022-08-07
ADESE.IS,12,0.3153769628508092,0.036585403970846864,2022-08-07
IZMDC.IS,12,0.3182651392223651,0.07048461990091459,2022-08-07
SOKM.IS,12,0.3185572263383182,0.027104076202520755,2022-08-07
VESBE.IS,12,0.2971105631301053,0.03098918528822736,2022-08-07
SAHOL.IS,13,0.3025914528399357,0.11021633287427068,2022-08-07
TKNSA.IS,13,0.3053394263552931,0.02303025216767285,2022-08-07
EKGYO.IS,14,0.2951886948203499,0.1326861156049286,2022-08-07
ENKAI.IS,14,0.2994463342384437,0.0005342002803760959,2022-08-07
MAVI.IS,15,0.318890883879046,0.06814589909773283,2022-08-07
THYAO.IS,15,0.3121458550504259,0.1547618849387431,2022-08-07
SISE.IS,15,0.294350178254287,0.07241062996352077,2022-08-07
ASELS.IS,16,0.3274444346925108,0.061261200732628085,2022-08-07
ENJSA.IS,16,0.3251292112085571,0.017880761408502366,2022-08-07
INDES.IS,16,0.3215094200725,0.028014560434550306,2022-08-07
ISDMR.IS,16,0.3207761899864264,0.017559245235877707,2022-08-07
LOGO.IS,16,0.3410583721149545,0.024836587184113634,2022-08-07
